ligand_id	barrier_energy	job_id	barrier_file	barrier_line
PV-006984456905	30.10180000000111	2	ligand_barriers_JOB_2.txt	"PV-006984456905	1	30.10180000000111"
PV-006984542239	28.93220000000726	2	ligand_barriers_JOB_2.txt	"PV-006984542239	1	28.93220000000726"
PV-006984700744	31.06110000000002	2	ligand_barriers_JOB_2.txt	"PV-006984700744	1	31.06110000000002"
PV-006984786678	28.540200000004088	2	ligand_barriers_JOB_2.txt	"PV-006984786678	1	28.540200000004088"
PV-006984937517	29.72830000000262	2	ligand_barriers_JOB_2.txt	"PV-006984937517	1	29.72830000000262"
PV-006984943488	29.084399999997007	2	ligand_barriers_JOB_2.txt	"PV-006984943488	1	29.084399999997007"
PV-006985169073	30.36700000000018	2	ligand_barriers_JOB_2.txt	"PV-006985169073	1	30.36700000000018"
PV-006985482968	26.7254999999877	2	ligand_barriers_JOB_2.txt	"PV-006985482968	1	26.7254999999877"
PV-006986002422	28.804800000000558	2	ligand_barriers_JOB_2.txt	"PV-006986002422	1	28.804800000000558"
PV-006986134796	30.98100000000392	2	ligand_barriers_JOB_2.txt	"PV-006986134796	1	30.98100000000392"
PV-006986147391	28.818300000007635	2	ligand_barriers_JOB_2.txt	"PV-006986147391	1	28.818300000007635"
PV-006986301326	27.214300000001113	2	ligand_barriers_JOB_2.txt	"PV-006986301326	1	27.214300000001113"
PV-006986382438	32.71790000000001	2	ligand_barriers_JOB_2.txt	"PV-006986382438	1	32.71790000000001"
PV-006986644190	29.639399999998513	2	ligand_barriers_JOB_2.txt	"PV-006986644190	1	29.639399999998513"
PV-006986719995	30.208000000004844	2	ligand_barriers_JOB_2.txt	"PV-006986719995	1	30.208000000004844"
PV-006986779861	26.89850000000502	2	ligand_barriers_JOB_2.txt	"PV-006986779861	1	26.89850000000502"
PV-006987179798	30.152000000000008	2	ligand_barriers_JOB_2.txt	"PV-006987179798	1	30.152000000000008"
PV-006987201064	26.20320000000083	2	ligand_barriers_JOB_2.txt	"PV-006987201064	1	26.20320000000083"
PV-006987446946	26.348300000005583	2	ligand_barriers_JOB_2.txt	"PV-006987446946	1	26.348300000005583"
PV-006987446947	27.150600000010243	2	ligand_barriers_JOB_2.txt	"PV-006987446947	1	27.150600000010243"
PV-006987636315	28.710699999999996	2	ligand_barriers_JOB_2.txt	"PV-006987636315	1	28.710699999999996"
PV-006987776064	26.572500000008745	2	ligand_barriers_JOB_2.txt	"PV-006987776064	1	26.572500000008745"
PV-006988039719	28.99930000000011	2	ligand_barriers_JOB_2.txt	"PV-006988039719	1	28.99930000000011"
PV-006988235667	30.27470000000001	2	ligand_barriers_JOB_2.txt	"PV-006988235667	1	30.27470000000001"
PV-006988413280	28.894300000000563	2	ligand_barriers_JOB_2.txt	"PV-006988413280	1	28.894300000000563"
PV-006988421381	29.375499999997395	2	ligand_barriers_JOB_2.txt	"PV-006988421381	1	29.375499999997395"
PV-006988566105	27.832699999996276	2	ligand_barriers_JOB_2.txt	"PV-006988566105	1	27.832699999996276"
PV-006988803184	30.99470000000317	2	ligand_barriers_JOB_2.txt	"PV-006988803184	1	30.99470000000317"
PV-006988995411	30.816100000002436	2	ligand_barriers_JOB_2.txt	"PV-006988995411	1	30.816100000002436"
PV-006989112601	26.613400000013034	2	ligand_barriers_JOB_2.txt	"PV-006989112601	1	26.613400000013034"
PV-006989501339	30.60949999998789	2	ligand_barriers_JOB_2.txt	"PV-006989501339	1	30.60949999998789"
PV-006989606154	30.445199999990695	2	ligand_barriers_JOB_2.txt	"PV-006989606154	1	30.445199999990695"
PV-006990197081	29.22979999999982	2	ligand_barriers_JOB_2.txt	"PV-006990197081	1	29.22979999999982"
PV-006990219799	26.35619999999962	2	ligand_barriers_JOB_2.txt	"PV-006990219799	1	26.35619999999962"
PV-006990306904	28.729100000002614	2	ligand_barriers_JOB_2.txt	"PV-006990306904	1	28.729100000002614"
PV-006990365270	30.0034999999972	2	ligand_barriers_JOB_2.txt	"PV-006990365270	1	30.0034999999972"
